"rho","rhoU","rhoV","E","U","V","P","Points:0","Points:1","Points:2"
0.3846187553518126,0,0,0.7686756782625008,0,0,0.3074702713050004,0.4945882558822632,-0.0733652338385582,0
0.3850690207070506,0,0,0.7724123092764222,0,0,0.3089649237105689,0.4975923597812653,-0.0490085706114769,0
0.3854127342177059,0,0,0.7749319076771463,0,0,0.3099727630708585,0.4993977248668671,-0.02453383803367615,0
0.3855353780000427,-0.004858715413142704,-1.794608639002591e-16,0.7758100223047597,-0.01260251507487379,-4.654848144707467e-16,0.3103117625150562,0.5245437026023865,0,0
0.3854074884712602,-0.004867875676693971,0.005692544798212807,0.7749647476837134,-0.01263046469595769,0.01477019769593112,0.3099567863646971,0.5239118337631226,0.02573813870549202,0
0.3850664675535155,-0.00490137016146826,0.0107893297015329,0.772564809252646,-0.01272863407870508,0.02801939563858135,0.308952984052088,0.5220178961753845,0.05141427367925644,0
0.3846190887957862,-0.0049729625020846,0.01481711904345517,0.7689766379539105,-0.01292957798234762,0.0385241384920506,0.3074636321710528,0.5188663005828857,0.0769665464758873,0
0.3841800032266741,-0.005095696320695547,0.01750996559087884,0.7646911196682424,-0.01326382497240228,0.0455775038883208,0.3057033180775144,0.5144647359848022,0.1023333966732025,0
0.3838002292336909,-0.005277759370816858,0.0188367577412457,0.7601972840952572,-0.01375131896443788,0.04907958960539403,0.3038794983397105,0.5088237524032593,0.1274537146091461,0
0.3834028382901445,-0.005524935787709019,0.01897306512656282,0.7558737240317546,-0.01441026313823989,0.04948597984088143,0.3021457863133227,0.5019569993019104,0.1522669941186905,0
0.3827488436732601,-0.005844827635707213,0.01823264864608398,0.7519218681891702,-0.01527066046657151,0.04763606460859378,0.3005771900742278,0.4938809871673584,0.1767134517431259,0
0.381449984443868,-0.006243492031831755,0.0169801009725608,0.7483425879761543,-0.01636778683038723,0.04451461964880352,0.2991654242138525,0.4846151769161224,0.2007341831922531,0
0.3790351246488539,-0.006708126996775033,0.01554400869683184,0.7449489083595618,-0.01769790333544835,0.04100941492225064,0.2978283292467539,0.4741818904876709,0.2242713272571564,0
0.3750610693443318,-0.007178767893415116,0.01414593633404638,0.7414074251962265,-0.0191402640267751,0.03771635472264768,0.2964287827453855,0.4626062512397766,0.2472681850194931,0
0.3692422949078498,-0.007523051165107845,0.01285836113894261,0.7373062833391376,-0.02037429424758976,0.03482364105160708,0.2948023029734766,0.4499161243438721,0.2696693539619446,0
0.361561451194356,-0.007530023828877261,0.01160360252090263,0.7322409422434032,-0.02082640116639405,0.03209303005774573,0.2927905332850544,0.4361421465873718,0.2914208471775055,0
